R,P,F
5,0.037096774,0.998971193
5,0.103225806,0.995884774
5,0.135483871,0.987654321
5,0.172580645,0.956790123
5,0.188709677,0.904320988
5,0.158064516,0.975308642
5,0.182258065,0.932098765
5,0.191935484,0.860082305
5,0.196774194,0.768518519
5,0.198387097,0.679012346
5,0.2,0.510288066
3,0.037096774,0.998971193
3,0.087096774,0.995
3,0.153225806,0.99382716
3,0.193548387,0.986625514
3,0.243548387,0.967078189
3,0.269354839,0.942386831
3,0.287096774,0.908436214
3,0.301612903,0.861111111
3,0.309677419,0.800411523
3,0.317741935,0.684156379
3,0.322580645,0.50617284
2,0.037096774,0.998971193
2,0.183870968,0.995884774
2,0.248387097,0.987654321
2,0.303225806,0.973251029
2,0.346774194,0.952674897
2,0.377419355,0.923868313
2,0.401612903,0.888888889
2,0.422580645,0.83436214
2,0.435483871,0.780864198
2,0.443548387,0.718106996
2,0.453225806,0.631687243
2,0.458064516,0.508230453
1.5,0.037096774,0.998971193
1.5,0.238709677,0.994855967
1.5,0.308064516,0.984567901
1.5,0.362903226,0.972222222
1.5,0.412903226,0.952674897
1.5,0.451612903,0.926954733
1.5,0.485483871,0.890946502
1.5,0.511290323,0.844650206
1.5,0.529032258,0.801440329
1.5,0.541935484,0.74691358
1.5,0.55483871,0.676954733
1.5,0.562903226,0.609053498
1.5,0.570967742,0.512345679
1.1,0.037096774,0.998971193
1.1,0.275806452,0.994855967
1.1,0.330645161,0.989711934
1.1,0.420967742,0.974279835
1.1,0.487096774,0.953703704
1.1,0.541935484,0.923868313
1.1,0.587096774,0.881687243
1.1,0.625806452,0.822016461
1.1,0.65,0.763374486
1.1,0.669354839,0.699588477
1.1,0.685483871,0.602880658
1.1,0.69516129,0.509259259
0.8,0.806451613,0.509259259
0.8,0.793548387,0.603909465
0.8,0.774193548,0.702674897
0.8,0.75,0.779835391
0.8,0.696774194,0.869341564
0.8,0.648387097,0.911522634
0.8,0.591935484,0.944444444
0.8,0.508064516,0.971193416
0.8,0.411290323,0.986625514
0.8,0.303225806,0.994855967
0.8,0.037096774,0.998971193
0.6,0.037096774,0.998971193
0.6,0.39516129,0.992798354
0.6,0.5,0.983539095
0.6,0.577419355,0.970164609
0.6,0.65,0.950617284
0.6,0.714516129,0.91872428
0.6,0.759677419,0.885802469
0.6,0.803225806,0.830246914
0.6,0.830645161,0.773662551
0.6,0.851612903,0.709876543
0.6,0.869354839,0.616255144
0.6,0.880645161,0.512345679
0.4,0.037096774,0.998971193
0.4,0.443548387,0.99382716
0.4,0.546774194,0.986625514
0.4,0.65483871,0.974279835
0.4,0.732258065,0.95473251
0.4,0.793548387,0.930041152
0.4,0.853225806,0.882716049
0.4,0.89516129,0.815843621
0.4,0.916129032,0.754115226
0.4,0.933870968,0.652263374
0.4,0.94516129,0.525720165
