Re,sigma,Ke
3000,-0.004228564,1.001101959
3000,0.200571477,0.614049545
3000,0.601028592,0.089256173
3000,0.400800035,0.302754873
3000,0.80034292,-0.059504152
3000,0.99874285,-0.126997179
5000,-0.004228564,1.001101959
5000,0.201485707,0.620936682
5000,0.598285735,0.09614331
5000,0.400800035,0.312396662
5000,0.80034292,-0.048484785
5000,0.99965708,-0.113223159
10000,-0.004228564,1.001101959
10000,0.199657248,0.63057847
10000,0.599199965,0.101652867
10000,0.399885805,0.326170809
10000,0.798514293,-0.030578534
10000,1.000571477,-0.099449013
